Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.843	0.0353	0.003
0.844	0.0353	0.007
0.845	0.0353	0.012
0.846	0.0357	0.015
0.847	0.0366	0.015
0.848	0.0366	0.012
0.849	0.0366	0.007
0.85	0.0366	0.001
0.851	0.0366	-0.006
0.852	0.0366	-0.012
0.853	0.0366	-0.016
0.854	0.0366	-0.020
0.855	0.0366	-0.022
0.856	0.0366	-0.021
0.857	0.0366	-0.017
0.858	0.0366	-0.012
0.859	0.0366	-0.004
0.86	0.0366	0.003
0.861	0.0366	0.009
0.862	0.0366	0.013
0.863	0.0369	0.015
0.864	0.0375	0.014
0.865	0.0375	0.010
0.866	0.0375	0.003
0.867	0.0375	-0.002
0.868	0.0375	-0.009
0.869	0.0375	-0.016
0.87	0.0375	-0.020
0.871	0.0375	-0.021
0.872	0.0375	-0.023
0.873	0.0375	-0.020
0.874	0.0375	-0.013
0.875	0.0375	-0.008
0.876	0.0375	-0.001
0.877	0.0375	0.005
0.878	0.0375	0.010
0.879	0.0374	0.014
0.88	0.0372	0.014
0.881	0.0372	0.013
0.882	0.0372	0.007
0.883	0.0372	0.001
0.884	0.0372	-0.006
0.885	0.0372	-0.012
0.886	0.0372	-0.016
0.887	0.0372	-0.021
0.888	0.0372	-0.023
0.889	0.0372	-0.023
0.89	0.0372	-0.021
0.891	0.0372	-0.015
0.892	0.0372	-0.009
0.893	0.0372	-0.001
0.894	0.0372	0.005
0.895	0.0372	0.012
0.896	0.0367	0.016
0.897	0.0356	0.016
0.898	0.0356	0.013
0.899	0.0356	0.006
0.9	0.0356	-0.001
0.901	0.0356	-0.007
0.902	0.0356	-0.011
0.903	0.0356	-0.016
0.904	0.0356	-0.019
0.905	0.0356	-0.020
0.906	0.0356	-0.020
0.907	0.0356	-0.014
0.908	0.0356	-0.009
0.909	0.0356	-0.002
0.91	0.0356	0.005
0.911	0.0356	0.010
0.912	0.0356	0.015
0.913	0.0364	0.017
0.914	0.0378	0.017
0.915	0.0378	0.011
0.916	0.0378	0.006
0.917	0.0378	-0.001
0.918	0.0378	-0.008
0.919	0.0378	-0.013
0.92	0.0378	-0.018
0.921	0.0378	-0.021
0.922	0.0378	-0.021
0.923	0.0378	-0.019
0.924	0.0378	-0.013
0.925	0.0378	-0.007
0.926	0.0378	0.001
0.927	0.0378	0.006
0.928	0.0378	0.013
0.929	0.0378	0.016
0.93	0.0373	0.018
0.931	0.0362	0.017
0.932	0.0362	0.012
0.933	0.0362	0.006
0.934	0.0362	-0.001
0.935	0.0362	-0.007
0.936	0.0362	-0.013
0.937	0.0362	-0.017
0.938	0.0362	-0.018
0.939	0.0362	-0.017
0.94	0.0362	-0.014
0.941	0.0362	-0.009
0.942	0.0362	-0.003
0.943	0.0362	0.003
0.944	0.0362	0.009
0.945	0.0362	0.012
0.946	0.0362	0.016
0.947	0.0368	0.016
0.948	0.0378	0.014
0.949	0.0378	0.007
0.95	0.0378	0.003
0.951	0.0378	-0.006
0.952	0.0378	-0.012
