Time,Channel 1,Channel 2,Channel 3
0.648,103.44,0.6416,-0.135
0.649,114.84,0.6416,0.030
0.65,47.97,0.6416,0.095
0.651,96.56,0.6416,0.126
0.652,82.34,0.6416,0.288
0.653,-14.06,0.4379,0.290
0.654,1.56,0.0306,0.260
0.655,-26.41,0.2082,0.293
0.656,-115.16,0.5634,0.207
0.657,-100.31,0.5634,0.063
0.658,-72.81,0.5634,0.006
0.659,-130.63,0.5634,-0.083
0.66,-93.75,0.5634,-0.255
0.661,-5.94,0.5634,-0.270
0.662,8.28,0.5634,-0.267
0.663,66.87,0.5634,-0.253
0.664,115.16,0.5634,-0.133
0.665,74.69,0.5634,-0.023
0.666,73.44,0.5634,0.016
0.667,107.66,0.5634,0.124
0.668,44.84,0.3907,0.232
0.669,13.59,0.0453,0.213
0.67,31.25,0.0453,0.259
0.671,-40.94,0.2268,0.276
0.672,-94.06,0.5897,0.177
0.673,-73.28,0.5897,0.088
0.674,-106.88,0.5897,0.030
0.675,-120.62,0.5897,-0.126
0.676,-51.56,0.5897,-0.211
0.677,-49.69,0.5897,-0.229
0.678,-42.34,0.5897,-0.310
0.679,70.94,0.5897,-0.314
0.68,92.03,0.5897,-0.168
0.681,39.84,0.5897,-0.130
0.682,107.34,0.5897,-0.089
0.683,112.19,0.5897,0.085
0.684,46.25,0.5897,0.136
0.685,72.03,0.5897,0.177
0.686,48.13,0.5884,0.280
0.687,-42.50,0.5859,0.274
0.688,-42.34,0.5859,0.195
0.689,-41.87,0.5859,0.189
0.69,-119.53,0.5859,0.111
0.691,-101.25,0.5859,-0.050
0.692,-59.22,0.5859,-0.092
0.693,-107.34,0.5859,-0.168
0.694,-46.56,0.5859,-0.306
0.695,30.31,0.5859,-0.262
0.696,14.53,0.5859,-0.246
0.697,78.59,0.5859,-0.233
0.698,139.37,0.5859,-0.088
0.699,79.69,0.5859,0.046
0.7,74.84,0.5859,0.071
0.701,94.38,0.5859,0.196
0.702,9.22,0.4057,0.260
0.703,-7.50,0.0453,0.214
0.704,13.12,0.2048,0.245
0.705,-60.16,0.5238,0.241
0.706,-114.84,0.5238,0.124
0.707,-80.16,0.5238,0.011
0.708,-84.84,0.5238,-0.036
0.709,-106.72,0.5238,-0.159
0.71,-49.69,0.5238,-0.249
0.711,-14.84,0.5238,-0.258
0.712,0.78,0.5238,-0.279
0.713,85.94,0.5238,-0.257
0.714,98.13,0.5238,-0.107
0.715,61.56,0.5238,-0.060
0.716,97.03,0.5238,0.016
0.717,81.72,0.5238,0.134
0.718,42.34,0.5238,0.179
0.719,54.84,0.5238,0.218
0.72,9.53,0.5576,0.289
0.721,-58.91,0.6253,0.238
0.722,-32.50,0.6253,0.171
0.723,-72.03,0.6253,0.173
0.724,-152.50,0.6253,0.027
0.725,-96.41,0.6253,-0.133
0.726,-55.31,0.6253,-0.166
0.727,-85.31,0.6253,-0.243
0.728,-10.78,0.6253,-0.336
0.729,76.87,0.6253,-0.265
0.73,52.19,0.6253,-0.183
0.731,83.13,0.6253,-0.160
0.732,120.94,0.6253,-0.016
0.733,66.25,0.6253,0.082
0.734,65.47,0.6253,0.116
0.735,87.50,0.6253,0.212
0.736,17.97,0.6133,0.291
0.737,-23.44,0.5894,0.248
0.738,-12.97,0.5894,0.244
0.739,-82.97,0.5894,0.223
0.74,-122.81,0.5894,0.078
0.741,-79.06,0.5894,-0.023
0.742,-96.72,0.5894,-0.080
0.743,-109.22,0.5894,-0.217
0.744,-14.69,0.5894,-0.298
0.745,12.81,0.5486,-0.246
0.746,12.81,0.4672,-0.273
0.747,100.78,0.4672,-0.220
0.748,98.28,0.4672,-0.071
0.749,65.00,0.4672,-0.024
0.75,109.22,0.4672,0.059
0.751,75.94,0.4672,0.195
0.752,2.03,0.3155,0.211
0.753,26.56,0.0122,0.199
0.754,16.87,0.2080,0.264
0.755,-76.72,0.5997,0.233
0.756,-75.63,0.5997,0.111
0.757,-78.28,0.5997,0.081
0.758,-137.97,0.5997,-0.046
0.759,-87.34,0.5997,-0.195
0.76,-35.94,0.5997,-0.221
0.761,-57.50,0.5997,-0.267
0.762,29.84,0.5997,-0.336
0.763,105.94,0.5997,-0.207
0.764,46.56,0.5997,-0.124
0.765,79.84,0.5997,-0.114
0.766,115.00,0.5997,0.036
0.767,55.94,0.5997,0.116
0.768,55.94,0.5997,0.148
0.769,64.84,0.5997,0.228
0.77,-19.84,0.5969,0.278
0.771,-46.25,0.5913,0.188
0.772,-19.53,0.5913,0.185
0.773,-100.00,0.5913,0.149
